         87183965 function calls (73275312 primitive calls) in 11.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        8    0.000    0.000    0.000    0.000 enum.py:364(__call__)
        6    0.000    0.000    0.000    0.000 argparse.py:2195(_parse_optional)
        7    0.000    0.000    0.000    0.000 types.py:181(__get__)
        8    0.000    0.000    0.000    0.000 enum.py:676(__new__)
        3    0.000    0.000    0.000    0.000 argparse.py:2487(_get_value)
        3    0.000    0.000    0.000    0.000 copyreg.py:107(_slotnames)
       53    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:68(_relax_case)
       15    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 _lzma.py:292(Index)
       13    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:636(_validate_hash_pyc)
        1    0.000    0.000    0.000    0.000 mcts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:2027(consume_positionals)
        1    0.000    0.000    0.000    0.000 {method 'seed' of 'Random' objects}
        5    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
        1    0.000    0.000    0.000    0.000 _sha512.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
        2    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       13    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        1    0.000    0.000    0.000    0.000 grp.py:15(struct_group)
        7    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:2253(_get_option_tuples)
        2    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1194(exec_module)
        1    0.000    0.000    0.000    0.000 threading.py:596(Barrier)
        3    0.000    0.000    0.003    0.001 blackjack.py:56(shuffle)
        1    0.000    0.000    0.000    0.000 functools.py:191(<setcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:950(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 argparse.py:154(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1672(ArgumentParser)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:93(add)
        3    0.000    0.000    0.002    0.001 gettext.py:668(dgettext)
        1    0.000    0.000    0.000    0.000 traceback.py:378(StackSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:500(TracebackException)
       11    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        1    0.000    0.000    0.000    0.000 argparse.py:579(<listcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:528(__init__)
        1    0.000    0.000    0.004    0.004 blackjack.py:78(__init__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        4    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
        1    0.000    0.000    0.000    0.000 _lzma.py:366(StreamFlags)
        1    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       10    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
        4    0.000    0.000    0.000    0.000 frozen _structseq:16(__init__)
        1    0.000    0.000    0.002    0.002 blackjack.py:97(new_shoe)
        3    0.000    0.000    0.000    0.000 argparse.py:2298(_get_nargs_pattern)
        1    0.000    0.000    0.000    0.000 functools.py:522(decorating_function)
        3    0.000    0.000    0.000    0.000 argparse.py:2056(<listcomp>)
       18    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in function sys.intern}
       16    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1046(get_filename)
        8    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1308(_ActionsContainer)
       19    0.000    0.000    0.000    0.000 {built-in function _imp.is_frozen}
        3    0.000    0.000    0.000    0.000 blackjack.py:84(all_ranks)
        1    0.000    0.000    0.000    0.000 blackjack.py:94(initial_state)
        3    0.000    0.000    0.000    0.000 re.py:188(match)
        1    0.000    0.000    0.000    0.000 blackjack.py:102(State)
        9    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        4    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       19    0.000    0.000    0.000    0.000 {built-in function callable}
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 random.py:217(__init_subclass__)
        1    0.000    0.000    0.000    0.000 ?:1(anonymous)
        2    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
        1    0.000    0.000    0.000    0.000 threading.py:542(set)
        1    0.000    0.000    0.000    0.000 threading.py:1229(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 argparse.py:1086(__init__)
        1    0.000    0.000    0.000    0.000 random.py:778(SystemRandom)
        1    0.000    0.000    0.000    0.000 argparse.py:964(__init__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
       15    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {built-in function globals}
       16    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:856(create_module)
        1    0.000    0.000    0.000    0.000 argparse.py:1817(<listcomp>)
        5    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
        1    0.000    0.000    0.000    0.000 threading.py:216(Condition)
        1    0.000    0.000    0.000    0.000 _lzma.py:681(LZMACompressor)
        1    0.000    0.000    0.000    0.000 argparse.py:1129(_SubParsersAction)
       12    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:775(_maintain_shutdown_locks)
        1    0.000    0.000    0.000    0.000 argparse.py:941(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:95(_RLock)
        1    0.000    0.000    0.000    0.000 blackjack.py:77(Game)
        1    0.000    0.000    0.000    0.000 _lzma.py:408(LZMADecompressor)
        3    0.000    0.000    0.002    0.001 gettext.py:745(gettext)
        1    0.000    0.000    0.000    0.000 threading.py:381(notify_all)
        2    0.000    0.000    0.000    0.000 {built-in function posix.register_at_fork}
        6    0.000    0.000    0.000    0.000 {built-in function _codecs.utf_8_encode}
        2    0.000    0.000    0.000    0.000 {built-in function _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 threading.py:82(RLock)
        7    0.000    0.000    0.000    0.000 enum.py:798(value)
        3    0.000    0.000    0.000    0.000 os.py:758(decode)
        7    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        1    0.000    0.000    0.000    0.000 random.py:117(__init__)
        1    0.000    0.000    0.000    0.000 blackjack.py:7(Card)
        3    0.000    0.000    0.000    0.000 argparse.py:935(__call__)
        1    0.000    0.000    0.000    0.000 argparse.py:2179(_match_arguments_partial)
        1    0.000    0.000    0.000    0.000 _sha512.py:234(sha512)
        9    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 threading.py:517(Event)
        3    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1333(_DummyThread)
